Team,Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston University,Matai Baptiste,,F,11,6,20.5,1.7,4.8,0.358,0.7,2.4,0.308,1.0,2.5,0.407,0.434,0.8,1.1,0.75,1.6,2.6,4.3,1.0,1.2,0.3,1.6,1.2,5.0
Boston University,Ben Defty,,F,32,0,11.6,1.9,3.0,0.642,0.0,0.0,,1.9,3.0,0.642,0.642,1.1,1.7,0.66,0.9,1.7,2.6,0.5,0.2,0.5,1.0,1.4,4.9
Boston University,Nic Nobili,,F,27,20,22.2,1.5,3.4,0.446,0.5,1.6,0.302,1.0,1.8,0.571,0.516,0.9,1.4,0.658,1.4,3.5,4.9,1.0,0.3,0.4,1.1,2.2,4.4
Boston University,Ben Palacios,,G,23,0,13.6,1.4,3.6,0.39,0.8,2.5,0.333,0.6,1.1,0.52,0.506,0.5,0.5,0.917,0.3,1.0,1.3,0.4,0.2,0.0,0.5,0.6,4.1
Boston University,Otto Landrum,,F,19,4,18.1,1.4,4.5,0.318,0.3,1.5,0.172,1.2,2.9,0.393,0.347,0.8,1.2,0.652,1.6,2.3,3.9,1.3,0.9,0.3,1.4,2.0,3.9
Boston University,Ben Roy,,G,27,4,24.1,1.3,3.1,0.417,0.2,0.9,0.261,1.1,2.3,0.475,0.452,0.7,1.4,0.487,0.2,1.9,2.1,2.4,0.9,0.1,0.5,1.3,3.5
Boston University,Quinn Nielsen,,C,8,0,2.3,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.5,1.4,0.364,0.3,0.5,0.8,0.0,0.0,0.1,0.3,0.5,1.3
Boston University,Ryan Sutliff,,G,8,0,3.1,0.5,1.1,0.444,0.1,0.5,0.25,0.4,0.6,0.6,0.5,0.0,0.3,0.0,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.4,1.1
Boston University,Spencer Joyner,,G,6,0,4.0,0.3,1.2,0.286,0.0,0.2,0.0,0.3,1.0,0.333,0.286,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.2,0.7,0.7
Bucknell,Noah Williamson,,C,32,32,29.5,6.1,11.4,0.538,0.9,2.8,0.318,5.3,8.6,0.609,0.577,4.4,7.2,0.617,1.4,6.2,7.6,1.6,0.8,1.1,2.8,2.5,17.6
Bucknell,Josh Bascoe,,G,33,33,36.5,5.6,12.9,0.437,2.2,5.6,0.392,3.4,7.3,0.471,0.522,2.4,3.1,0.757,0.4,3.4,3.8,4.4,1.4,0.1,2.4,1.8,15.8
Bucknell,Ian Motta,,F,7,7,23.9,3.9,8.6,0.45,1.3,3.0,0.429,2.6,5.6,0.462,0.525,1.1,1.7,0.667,1.1,2.6,3.7,1.0,1.0,0.6,1.6,1.7,10.1
Bucknell,Ruot Bijiek,,F,33,33,28.7,3.2,7.1,0.444,1.3,4.0,0.331,1.8,3.1,0.594,0.538,1.2,1.5,0.813,1.0,2.8,3.8,1.2,0.6,0.8,1.0,2.4,8.8
Bucknell,Achile Spadone,,G,33,29,31.8,2.9,6.8,0.42,0.8,2.8,0.293,2.1,4.1,0.507,0.48,2.1,2.5,0.81,1.2,3.4,4.5,1.6,1.2,0.2,1.3,3.0,8.6
Bucknell,Elvin Edmonds IV,,G,29,28,27.3,2.9,5.8,0.491,1.1,3.0,0.379,1.7,2.8,0.61,0.589,1.1,1.4,0.786,0.3,2.8,3.1,2.2,0.7,0.1,2.2,2.2,8.0
Bucknell,Brandon McCreesh,,G,33,2,22.1,2.0,4.1,0.485,1.0,2.5,0.415,0.9,1.6,0.596,0.612,0.8,1.3,0.581,0.8,1.4,2.2,0.9,0.7,0.1,0.8,1.5,5.7
Bucknell,Pip Ajayi,,G,33,1,12.8,1.7,2.5,0.655,0.0,0.1,0.0,1.7,2.5,0.671,0.655,1.1,2.3,0.48,1.4,1.9,3.4,0.4,0.5,0.6,0.6,2.4,4.4
Bucknell,Jayden Williams,,G,30,0,14.3,1.0,3.5,0.292,0.5,1.8,0.296,0.5,1.7,0.288,0.368,0.2,0.4,0.538,0.2,0.9,1.1,1.5,0.3,0.0,1.0,1.0,2.8
Bucknell,Josh Fulton,,G,21,0,5.6,0.6,1.1,0.542,0.0,0.0,0.0,0.6,1.1,0.565,0.542,0.3,0.9,0.389,0.5,1.0,1.5,0.0,0.3,0.2,0.1,0.9,1.6
Bucknell,Patrick O'Brien,,F,4,0,2.5,0.5,1.0,0.5,0.3,0.3,1.0,0.3,0.8,0.333,0.625,0.0,0.0,,0.3,0.3,0.5,0.0,0.3,0.0,0.5,1.0,1.3
Bucknell,Brady Muller,,G,16,0,4.7,0.3,1.0,0.25,0.2,0.7,0.273,0.1,0.3,0.2,0.344,0.5,0.6,0.8,0.1,0.3,0.4,0.1,0.1,0.1,0.3,0.6,1.2
Bucknell,Kellen Welch,,F,8,0,1.5,0.1,0.4,0.333,0.0,0.1,0.0,0.1,0.3,0.5,0.333,0.0,0.1,0.0,0.1,0.3,0.4,0.0,0.0,0.0,0.0,0.3,0.3
Colgate,Jeff Woodward,,C,25,25,27.7,5.8,9.0,0.643,0.0,0.0,,5.8,9.0,0.643,0.643,2.9,4.3,0.673,2.6,5.4,8.0,2.9,0.9,1.0,2.2,2.7,14.4
Colgate,Jalen Cox,,G,31,30,28.8,4.5,9.0,0.504,0.6,2.2,0.294,3.9,6.8,0.571,0.54,2.2,2.9,0.775,0.2,4.2,4.4,3.9,1.6,0.2,2.8,1.8,11.9
Colgate,Nicolas Louis-Jacques,,G,33,33,29.0,4.1,9.2,0.442,2.0,5.3,0.381,2.0,3.8,0.528,0.553,1.3,1.6,0.808,0.3,1.4,1.7,1.4,0.8,0.3,1.4,2.1,11.4
Colgate,Parker Jones,,G,32,31,27.7,3.0,7.3,0.412,1.5,4.1,0.366,1.5,3.2,0.471,0.515,0.8,1.0,0.813,1.2,3.4,4.6,1.8,1.1,0.7,1.4,1.8,8.3
Colgate,Brady Cummins,,G,31,27,24.4,3.1,7.1,0.436,1.0,2.8,0.345,2.1,4.3,0.496,0.505,1.1,1.6,0.647,0.6,2.2,2.8,1.2,0.5,0.1,1.0,1.5,8.2
Colgate,Chandler Baker,,G,33,8,20.2,2.9,6.4,0.448,1.5,3.9,0.388,1.4,2.5,0.542,0.566,0.3,0.4,0.917,0.2,1.6,1.8,1.0,0.5,0.1,0.5,0.9,7.6
Colgate,Sam Wright,,F,33,8,14.2,2.2,4.3,0.497,0.8,2.1,0.357,1.4,2.2,0.63,0.584,0.7,0.9,0.733,0.9,1.6,2.5,0.7,0.3,0.0,0.7,1.8,5.7
Colgate,Kyle Carlesimo,,G,33,1,13.8,1.6,3.7,0.43,1.1,2.9,0.371,0.5,0.7,0.667,0.579,0.1,0.2,0.4,0.1,1.1,1.2,0.5,0.2,0.1,0.4,0.8,4.3
Colgate,Julian Scott,,G,26,1,11.1,0.8,1.8,0.435,0.0,0.1,0.0,0.8,1.7,0.465,0.435,0.4,0.7,0.647,0.7,1.7,2.4,1.0,0.3,0.0,0.5,0.8,2.0
Colgate,Blake Forrest,,G,21,1,9.0,0.6,2.0,0.317,0.3,1.1,0.25,0.3,0.8,0.412,0.39,0.3,0.4,0.875,0.0,1.0,1.1,1.0,0.5,0.0,0.3,0.6,1.9
Colgate,Josh Ahayere,,G,22,0,7.5,0.4,1.6,0.257,0.2,0.5,0.364,0.2,1.1,0.208,0.314,0.8,1.0,0.773,0.3,1.0,1.4,0.4,0.2,0.0,0.4,0.6,1.8
Colgate,Cameron Brennan,,F,17,0,7.6,0.7,1.4,0.5,0.0,0.2,0.0,0.7,1.2,0.6,0.5,0.1,0.1,0.5,0.4,1.4,1.8,0.2,0.1,0.4,0.5,1.4,1.5
Colgate,Cooper Wright,,F,11,0,6.3,0.3,0.4,0.75,0.0,0.0,,0.3,0.4,0.75,0.75,0.2,0.5,0.4,0.6,0.7,1.4,0.1,0.5,0.1,0.1,0.7,0.7
Colgate,Stevie Clark,,G,11,0,3.0,0.3,1.2,0.231,0.1,0.5,0.167,0.2,0.6,0.286,0.269,0.1,0.1,1.0,0.1,0.3,0.4,0.0,0.0,0.0,0.3,0.1,0.7
Holy Cross,Max Green,,G,31,31,34.4,5.2,12.3,0.419,2.3,5.9,0.38,2.9,6.4,0.455,0.51,2.3,3.3,0.699,1.0,4.6,5.6,3.5,0.9,0.3,2.7,1.6,14.9
Holy Cross,Joe Nugent,,F,31,30,33.4,4.2,9.5,0.443,2.7,6.4,0.429,1.5,3.2,0.469,0.586,1.3,1.6,0.82,1.2,4.0,5.2,0.6,0.6,0.2,1.3,2.2,12.5
