Team,Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lafayette,Folabomi Fayemi,,G,11,0,4.3,0.5,0.9,0.5,0.1,0.3,0.333,0.4,0.6,0.571,0.55,0.1,0.2,0.5,0.5,0.4,0.9,0.1,0.0,0.0,0.3,0.5,1.1
Lehigh,Keith Higgins Jr.,,G,12,12,32.9,6.3,13.5,0.463,2.8,6.6,0.43,3.4,6.9,0.494,0.568,2.6,3.9,0.66,0.4,4.6,5.0,1.4,0.9,0.6,1.3,1.7,17.9
Lehigh,Tyler Whitney-Sidney,,G,30,30,30.2,5.2,10.8,0.48,1.2,3.4,0.347,4.0,7.5,0.54,0.534,2.7,3.6,0.741,0.4,2.8,3.2,2.0,0.7,0.0,1.6,1.8,14.2
Lehigh,Nasir Whitlock,,G,30,2,23.9,4.0,9.2,0.44,1.2,3.4,0.366,2.8,5.8,0.483,0.507,1.2,1.6,0.75,0.2,2.4,2.6,2.0,0.5,0.1,1.4,1.1,10.5
Lehigh,Cam Gillus,,G,29,29,30.7,3.1,8.1,0.379,1.5,4.6,0.321,1.6,3.5,0.455,0.47,1.8,2.7,0.667,0.7,3.7,4.3,2.4,1.3,0.1,1.4,2.2,9.4
Lehigh,Joshua Ingram,,G,30,18,26.1,2.4,5.3,0.453,0.7,1.9,0.362,1.7,3.4,0.505,0.519,1.7,2.4,0.708,0.7,3.0,3.7,1.5,1.0,0.5,1.3,2.3,7.2
Lehigh,Hank Alvey,,F,29,28,25.1,2.7,5.8,0.47,0.0,0.2,0.143,2.7,5.6,0.484,0.473,1.6,2.2,0.746,1.6,3.3,4.9,0.9,0.6,0.6,0.8,1.8,7.1
Lehigh,Edouard Benoit,,F,30,11,17.2,2.1,4.6,0.46,1.0,2.3,0.42,1.1,2.3,0.5,0.566,0.8,1.3,0.575,0.5,1.9,2.4,0.6,0.2,0.1,1.0,1.9,5.9
Lehigh,Bube Momah,,F,6,0,12.2,2.2,4.2,0.52,0.2,0.2,1.0,2.0,4.0,0.5,0.54,1.2,1.7,0.7,0.7,1.2,1.8,0.5,0.3,0.5,0.7,1.0,5.7
Lehigh,Ben Knostman,,G,28,18,20.0,1.5,3.1,0.477,0.6,1.6,0.391,0.9,1.5,0.571,0.58,0.4,0.8,0.545,0.7,2.0,2.6,2.9,0.9,0.1,1.3,2.3,4.1
Lehigh,Alfredo Addesa,,F,25,0,8.4,0.9,2.4,0.39,0.4,1.3,0.333,0.5,1.0,0.462,0.483,0.5,0.8,0.619,0.6,1.4,2.1,0.3,0.1,0.2,0.5,1.5,2.8
Lehigh,Jake Pike,,F,8,0,2.6,0.9,1.4,0.636,0.4,0.4,1.0,0.5,1.0,0.5,0.773,0.1,0.3,0.5,0.5,0.5,1.0,0.0,0.3,0.1,0.3,0.0,2.3
Lehigh,Tommy Conniff,,C,28,2,7.2,0.5,0.9,0.538,0.0,0.0,1.0,0.5,0.9,0.52,0.558,0.2,0.3,0.556,0.4,0.8,1.2,0.2,0.1,0.1,0.4,0.8,1.2
Lehigh,Peter Kramer,,G,11,0,2.5,0.4,0.8,0.444,0.2,0.4,0.5,0.2,0.5,0.4,0.556,0.0,0.4,0.0,0.1,0.2,0.3,0.4,0.3,0.0,0.2,0.3,0.9
Lehigh,Brendan Reed,,G,11,0,1.8,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.4,0.0
Loyola Maryland,Milos Ilic,,F,31,31,27.0,5.9,11.3,0.524,0.6,2.0,0.323,5.3,9.3,0.568,0.553,1.9,3.0,0.652,2.5,4.9,7.5,3.0,0.8,0.4,2.6,2.8,14.4
Loyola Maryland,Jacob Theodosiou,,G,31,31,31.1,4.0,10.7,0.378,1.7,5.4,0.325,2.3,5.3,0.43,0.459,3.2,4.2,0.769,0.4,3.6,4.0,2.7,1.7,0.3,2.4,2.3,13.0
Loyola Maryland,Jordan Stiemke,,F,31,11,28.8,4.3,10.5,0.406,2.0,5.9,0.335,2.3,4.6,0.497,0.5,1.6,2.0,0.79,0.9,2.7,3.7,1.0,1.0,1.0,1.3,2.3,12.1
Loyola Maryland,Braeden Speed,,G,31,30,30.2,2.6,6.5,0.406,0.7,2.5,0.303,1.9,4.1,0.468,0.463,2.0,2.7,0.738,0.6,2.7,3.3,2.5,1.0,0.4,1.6,1.9,8.0
Loyola Maryland,Veljko Ilic,,F,28,11,17.9,3.1,6.0,0.527,0.0,0.0,,3.1,6.0,0.527,0.527,1.5,2.9,0.512,2.1,2.9,5.0,1.1,0.5,0.2,1.4,1.8,7.8
Loyola Maryland,Chris Kuzemka,,G,8,0,20.8,1.9,5.0,0.375,1.3,3.3,0.385,0.6,1.8,0.357,0.5,1.0,1.5,0.667,0.3,1.6,1.9,1.0,0.8,0.1,1.1,2.4,6.0
Loyola Maryland,Tyson Commander,,G,31,19,27.2,2.4,5.0,0.474,0.9,2.6,0.333,1.5,2.4,0.63,0.562,0.2,0.3,0.625,0.9,1.9,2.8,1.4,1.3,0.2,0.8,1.5,5.7
Loyola Maryland,David Brown III,,G,31,21,20.2,1.5,4.0,0.379,0.8,2.5,0.333,0.7,1.5,0.457,0.484,0.7,0.7,1.0,0.7,1.4,2.2,1.1,0.4,0.2,0.5,1.3,4.6
