Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
Jalen Wilson,FR,F,29,26,822,7.9,19.1,.414,2.8,8.4,,5.1,10.7,.477,.487,5.2,8.3,.630,4.5,11.6,16.1,4.0,0.8,0.6,3.9,3.4,23.8,106.0,97.3,
Jalen Wilson,SO,F,37,27,1086,7.9,17.1,.461,1.6,6.0,,6.3,11.1,.569,.508,4.4,6.1,.722,3.1,11.4,14.6,3.6,1.7,0.8,2.5,4.3,21.8,115.3,94.8,
Jalen Wilson,JR,F,36,36,1274,11.1,25.7,.430,3.1,9.3,,7.9,16.4,.482,.490,7.1,8.9,.799,2.5,10.8,13.3,3.5,1.5,0.8,3.8,3.4,32.4,108.7,97.4,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
James Wiseman,FR,C,3,3,69,15.9,20.6,.769,0.0,0.8,,15.9,19.8,.800,.769,15.1,21.4,.704,10.3,15.1,25.4,0.8,0.8,7.1,2.4,4.0,46.8,149.8,80.8,
Danny Wolf,FR,F,21,0,153,8.1,20.1,.404,2.7,8.9,,5.4,11.2,.483,.471,1.9,3.1,.625,6.6,10.5,17.0,5.0,1.9,3.1,5.4,6.6,20.9,98.6,89.8,
Danny Wolf,SO,F,32,31,985,10.8,22.9,.472,1.8,5.2,,9.0,17.7,.509,.511,4.4,6.1,.717,3.9,15.2,19.0,4.7,2.0,2.6,4.5,4.0,27.7,106.2,94.5,
Danny Wolf,JR,F,37,37,1128,9.3,18.7,.497,1.9,5.7,,7.4,13.1,.567,.548,4.0,6.7,.594,4.3,13.8,18.0,6.6,1.3,2.5,6.0,3.8,24.5,105.7,96.1,
Jahmir Young,FR,G,29,29,937,7.6,17.7,.426,3.0,8.1,,4.5,9.7,.470,.511,5.1,6.9,.738,1.0,8.6,9.7,5.3,2.9,0.6,3.5,2.2,23.2,107.0,95.7,
Jahmir Young,SO,G,25,25,938,9.2,21.9,.423,3.0,8.8,,6.3,13.1,.480,.491,8.3,10.0,.834,1.3,6.9,8.1,4.2,1.7,0.5,4.0,1.5,29.8,107.9,103.1,
Jahmir Young,JR,G,31,31,1111,11.3,24.3,.468,3.0,8.9,,8.3,15.4,.540,.530,7.1,8.0,.892,1.1,8.8,9.9,6.2,1.8,0.8,3.6,1.7,32.8,116.0,106.8,
Jahmir Young,SR,G,35,35,1095,10.4,25.1,.415,2.4,7.6,,8.0,17.4,.461,.463,8.1,9.7,.831,2.3,6.9,9.2,6.1,2.5,0.7,4.5,2.4,31.3,109.2,98.9,
Jahmir Young,SR,G,32,32,1134,10.6,26.2,.404,3.0,9.2,,7.6,17.0,.447,.460,10.5,11.7,.900,1.8,6.5,8.3,7.2,2.3,0.5,4.6,2.1,34.7,113.9,100.8,
Trae Young,FR,G,32,32,1133,12.0,28.5,.422,5.4,15.1,,6.6,13.4,.493,.518,10.9,12.6,.861,0.6,5.1,5.8,12.9,2.5,0.4,7.7,2.6,40.4,114.7,108.1,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
Chris Youngblood,FR,G,24,21,776,7.8,19.6,.396,3.7,11.2,,4.1,8.4,.482,.491,2.7,3.3,.841,0.7,5.1,5.8,3.1,1.4,1.0,3.0,3.8,22.0,101.4,103.1,
Chris Youngblood,SO,G,30,30,924,9.6,20.1,.476,4.4,11.0,,5.1,9.1,.563,.587,2.9,3.6,.789,3.2,6.7,9.9,2.0,1.7,0.9,2.7,4.2,26.4,119.8,104.8,
Chris Youngblood,JR,G,35,35,1098,8.8,18.9,.464,4.2,10.2,,4.5,8.7,.521,.576,5.0,6.1,.821,2.5,6.0,8.5,3.3,1.9,0.7,2.3,4.6,26.8,124.2,100.8,
Chris Youngblood,SR,G,33,32,988,9.4,20.5,.458,4.1,9.7,,5.3,10.7,.497,.557,6.8,8.2,.829,1.7,3.2,4.9,4.1,1.1,1.1,2.7,5.0,29.6,122.3,107.1,
Chris Youngblood,SR,G,28,18,709,7.1,16.0,.447,4.4,11.3,,2.7,4.7,.587,.584,2.7,3.4,.804,1.9,3.0,4.8,1.9,1.4,0.5,2.2,4.6,21.4,121.2,112.6,
