Player,Class,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
Jamison Battle,JR,F,29,29,1064,10.7,23.7,.450,4.3,11.8,,6.4,11.9,.534,.541,3.4,4.5,.759,0.5,10.0,10.5,1.6,0.6,0.7,2.2,3.1,29.1,105.5,106.8,
Jamison Battle,JR,F,27,27,961,8.0,21.6,.371,3.8,12.1,,4.3,9.5,.447,.457,1.6,2.0,.781,0.5,6.0,6.6,3.0,1.0,0.8,3.2,3.4,21.4,89.5,111.4,
Jamison Battle,SR,F,35,35,1099,9.7,20.6,.469,4.9,11.4,,4.8,9.3,.512,.588,4.8,5.1,.926,2.3,7.6,9.8,2.6,0.8,0.4,3.0,3.8,29.0,123.1,107.7,
Bradley Beal,FR,G,37,37,1267,8.5,19.1,.445,3.1,9.0,,5.4,10.0,.541,.525,6.4,8.4,.769,2.4,9.6,12.1,4.0,2.5,1.5,3.8,3.7,26.5,115.4,96.9,
Saddiq Bey,FR,F,36,29,1064,6.3,13.8,.458,2.8,7.6,,3.5,6.2,.561,.561,1.7,2.6,.644,4.3,6.3,10.6,2.7,1.8,0.7,1.6,4.5,17.1,123.1,104.8,
Saddiq Bey,SO,F,31,31,1051,9.8,20.6,.477,4.4,9.8,,5.4,10.8,.500,.584,3.9,5.1,.769,2.3,6.0,8.3,4.2,1.4,0.7,2.6,4.3,28.1,121.0,101.0,
Anthony Black,FR,G,36,36,1255,6.8,14.9,.453,1.3,4.2,,5.5,10.7,.513,.495,6.1,8.6,.705,2.0,6.2,8.3,6.4,3.4,1.0,4.9,4.2,20.9,104.9,96.9,
Adem Bona,FR,F,33,32,757,8.2,12.1,.675,0.0,0.0,,8.2,12.1,.675,.675,3.7,6.4,.573,5.8,7.9,13.7,1.9,1.5,4.5,3.5,8.6,20.1,120.4,89.8,
Adem Bona,SO,F,33,33,875,10.8,18.4,.588,0.0,0.1,,10.8,18.3,.591,.588,7.3,10.4,.696,4.7,9.1,13.8,2.9,2.6,4.1,5.8,8.4,28.9,109.8,96.2,
Devin Booker,FR,F,32,1,370,9.3,16.5,.561,0.0,0.2,,9.3,16.4,.566,.561,3.7,6.9,.533,5.6,8.9,14.5,1.5,1.9,0.6,4.6,6.3,22.2,103.1,93.0,
Devin Booker,SO,F,34,33,827,7.6,16.9,.447,1.1,3.3,,6.5,13.6,.475,.480,4.3,5.9,.734,4.2,9.7,13.8,1.8,1.6,1.1,3.9,7.3,20.6,102.1,94.1,
Devin Booker,JR,F,31,29,904,8.7,18.9,.459,0.3,1.6,,8.3,17.3,.482,.469,5.2,7.4,.698,5.7,9.4,15.2,2.7,1.9,2.0,4.0,5.7,22.9,104.0,94.7,
Devin Booker,SR,F,31,31,988,10.3,19.0,.545,0.1,0.7,,10.2,18.3,.559,.548,5.6,9.0,.623,6.1,9.0,15.0,1.7,1.2,2.3,3.8,4.6,26.4,111.1,98.1,
Chris Boucher,JR,F,38,35,981,9.3,17.3,.539,2.3,6.7,,7.0,10.6,.667,.605,6.0,8.7,.685,6.0,10.4,16.4,0.9,1.8,6.5,2.5,6.0,26.9,128.6,93.6,
Chris Boucher,SR,F,31,12,731,11.2,21.4,.524,2.9,8.2,,8.3,13.2,.633,.591,3.8,6.8,.565,4.3,10.6,14.9,1.0,1.0,6.3,2.5,6.6,29.1,118.1,91.8,
Tony Bradley,FR,F,38,0,553,10.2,17.7,.573,0.0,0.0,,10.2,17.7,.573,.573,6.5,10.5,.619,9.8,9.7,19.4,2.3,1.0,2.2,2.5,6.9,26.8,129.2,97.7,
Malaki Branham,FR,G,32,31,948,10.4,20.8,.498,2.4,5.8,,8.0,15.0,.530,.556,5.2,6.2,.833,1.6,5.8,7.4,4.1,1.5,0.6,3.5,3.6,28.3,117.3,107.1,
Christian Braun,FR,G,31,5,569,5.8,13.5,.431,3.3,7.5,,2.5,6.0,.414,.554,2.0,2.7,.731,2.2,7.1,9.3,1.6,2.2,0.7,1.3,4.2,16.9,121.1,91.9,
Christian Braun,SO,G,30,30,934,5.7,14.9,.380,3.2,9.4,,2.5,5.5,.449,.488,3.4,4.3,.786,2.2,7.4,9.5,3.5,2.3,0.8,2.4,3.1,17.9,110.2,97.1,
Christian Braun,JR,G,40,39,1374,8.7,17.5,.495,2.1,5.5,,6.5,12.0,.545,.556,4.1,5.7,.733,2.3,8.6,10.9,4.6,1.6,1.4,3.4,3.1,23.6,116.5,96.9,
Koby Brea,FR,G,17,3,239,4.0,10.1,.400,2.8,7.8,,1.3,2.3,.556,.538,1.5,2.3,.667,0.5,7.3,7.8,1.8,0.5,0.8,2.5,2.3,12.4,97.0,103.1,
Koby Brea,SO,G,35,4,758,8.4,19.2,.436,5.2,12.2,,3.2,7.0,.459,.571,1.5,2.4,.621,0.7,7.7,8.4,2.2,1.1,0.4,2.4,2.9,23.3,110.7,98.7,
Koby Brea,JR,G,28,10,742,5.6,15.4,.363,4.2,11.5,,1.4,4.0,.340,.500,0.6,0.6,1.000,0.6,7.3,7.9,4.0,0.8,0.6,2.1,2.6,16.0,104.2,100.0,
Koby Brea,JR,G,33,4,959,8.1,15.8,.512,6.4,12.9,,1.7,2.9,.578,.715,0.9,1.0,.875,0.7,7.3,8.0,2.5,1.2,0.6,1.5,2.0,23.6,134.5,106.1,
Koby Brea,SR,G,36,16,1010,8.1,17.2,.470,5.1,11.7,,3.0,5.4,.545,.618,1.8,1.9,.914,0.5,5.8,6.3,2.6,0.9,0.7,0.9,2.6,23.0,130.1,112.4,
Mikal Bridges,FR,F,40,0,813,6.3,12.1,.521,1.7,5.6,,4.6,6.4,.716,.591,4.3,5.5,.787,2.6,6.7,9.4,2.6,3.1,1.9,1.8,6.5,18.6,128.7,92.8,
Mikal Bridges,SO,F,36,33,1073,7.3,13.2,.549,2.5,6.4,,4.8,6.9,.694,.644,2.9,3.2,.911,2.3,7.0,9.3,4.0,3.4,1.8,2.6,4.7,19.9,130.5,93.5,
Mikal Bridges,JR,F,40,40,1285,10.8,21.1,.514,4.6,10.6,,6.2,10.5,.593,.623,5.1,5.9,.851,2.4,7.0,9.4,3.4,2.7,1.9,2.4,3.8,31.3,132.5,98.2,"AP-AA-3,NABC-AA-3,SN-AA-3,W-AA-1"
Miles Bridges,FR,F,28,27,895,11.6,23.9,.486,3.7,9.4,,7.9,14.4,.550,.563,4.1,6.0,.685,2.7,12.5,15.2,3.8,1.2,2.8,4.3,3.4,31.0,108.4,96.8,
Miles Bridges,SO,F,34,33,1067,11.5,25.1,.457,3.9,10.7,,7.6,14.4,.527,.535,5.1,6.0,.853,2.4,10.7,13.0,5.1,1.2,1.4,3.7,2.9,32.0,118.2,95.5,"AA-2,AP-AA-2,NABC-AA-2,SN-AA-2,USBWA-AA-2,W-AA-1"
Dillon Brooks,FR,F,36,33,1020,8.6,19.0,.456,1.6,4.8,,7.0,14.2,.496,.498,4.9,5.9,.825,3.6,6.6,10.1,3.7,1.0,1.2,4.2,6.4,23.8,107.9,106.3,
Dillon Brooks,SO,F,38,38,1247,10.7,22.7,.470,2.2,6.6,,8.4,16.1,.523,.518,5.8,7.2,.806,3.6,6.0,9.5,5.5,1.8,0.7,4.1,5.2,29.3,116.2,102.7,SN-AA-3
Dillon Brooks,JR,F,35,27,886,13.5,27.7,.488,3.7,9.3,,9.8,18.4,.532,.556,6.2,8.3,.754,2.3,5.1,7.4,6.2,2.5,1.0,4.7,6.4,37.0,116.2,98.2,"AA-2,AP-AA-2,NABC-AA-2,SN-AA-2,USBWA-AA-2,W-AA-1"
Johni Broome,FR,F,30,27,774,13.3,23.3,.571,0.0,0.0,,13.3,23.3,.571,.571,5.2,8.5,.618,7.0,13.9,20.9,1.5,1.4,4.3,4.4,4.7,31.9,112.3,88.1,
Johni Broome,SO,F,34,34,962,15.2,27.5,.555,0.0,0.3,,15.2,27.2,.561,.555,5.2,8.2,.636,7.0,15.4,22.4,2.6,1.5,8.2,5.1,5.2,35.7,109.1,84.1,
Johni Broome,JR,F,33,33,875,12.9,24.5,.527,0.6,2.1,,12.3,22.4,.549,.539,4.7,8.3,.560,6.4,12.1,18.4,2.9,1.9,5.2,3.8,6.6,31.1,110.8,92.8,
Johni Broome,SR,F,35,34,868,14.2,25.9,.548,1.8,5.1,,12.4,20.7,.596,.583,7.3,11.8,.615,5.6,13.8,19.4,5.0,2.0,5.1,3.6,5.5,37.4,122.1,89.5,"AP-AA-3,NABC-AA-3,SN-AA-3,USBWA-AA-3"
Johni Broome,SR,F,36,35,1088,14.0,27.4,.510,1.3,4.8,,12.7,22.6,.559,.534,6.3,10.7,.587,7.0,13.7,20.7,5.5,1.8,4.0,3.0,4.0,35.6,121.7,94.8,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1"
Jaylen Brown,FR,F,34,34,939,10.2,23.6,.431,1.9,6.4,,8.3,17.2,.482,.471,8.9,13.5,.654,2.2,9.1,11.4,4.2,1.7,1.4,6.6,6.7,31.1,98.5,97.2,
Kobe Brown,FR,F,30,26,544,6.9,17.2,.401,2.1,8.2,,4.8,9.0,.537,.462,3.2,4.3,.744,3.5,8.8,12.3,1.8,3.2,1.2,4.3,6.5,19.1,94.2,93.7,
Kobe Brown,SO,F,26,26,554,8.3,17.6,.471,1.6,6.6,,6.7,11.1,.602,.517,3.2,5.8,.544,4.7,11.9,16.6,2.3,1.5,1.0,3.5,7.4,21.4,103.7,99.7,
Kobe Brown,JR,F,33,32,988,9.0,18.6,.481,0.8,4.1,,8.1,14.5,.558,.503,6.1,7.6,.795,4.2,10.9,15.1,4.9,2.4,1.7,4.6,6.1,24.8,109.1,101.1,
Kobe Brown,SR,F,34,34,1005,11.0,20.0,.553,2.9,6.4,,8.1,13.6,.598,.625,5.6,7.1,.792,3.5,8.8,12.3,4.9,2.8,0.9,3.2,4.8,30.6,128.5,104.4,
Jalen Brunson,FR,G,40,39,959,7.8,17.3,.452,3.0,7.9,,4.8,9.4,.510,.539,5.1,6.6,.774,1.1,3.2,4.3,6.2,1.7,0.0,4.5,4.5,23.7,110.1,100.8,
Jalen Brunson,SO,G,36,36,1118,10.0,18.4,.541,2.3,6.1,,7.7,12.4,.621,.604,6.5,7.5,.876,0.9,4.1,5.1,8.1,1.7,0.0,4.0,3.2,28.8,128.5,101.6,
Jalen Brunson,JR,G,40,40,1272,12.1,23.2,.521,3.9,9.5,,8.2,13.8,.599,.604,5.8,7.3,.802,0.5,4.9,5.5,8.2,1.7,0.0,3.2,3.5,33.9,130.7,104.1,"AP POY-1,WA-1,AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1,NA-1"
Carter Bryant,FR,G,37,5,714,6.4,14.0,.460,3.1,8.4,,3.3,5.6,.592,.571,3.3,4.7,.695,2.5,9.5,12.1,2.9,2.8,2.9,2.9,6.8,19.2,116.5,100.1,
Thomas Bryant,FR,C,35,35,791,11.5,16.8,.683,0.4,1.1,,11.1,15.7,.707,.693,7.0,10.0,.706,5.1,9.7,14.8,2.5,1.2,2.3,4.2,7.2,30.4,130.0,100.3,
Thomas Bryant,SO,C,34,34,954,8.9,17.2,.519,1.4,3.6,,7.5,13.6,.556,.560,6.5,8.9,.730,4.6,9.0,13.6,3.0,1.6,3.1,4.7,6.3,25.8,115.4,101.9,
Jamal Cain,FR,F,34,1,584,5.7,11.9,.484,2.5,5.4,,3.2,6.5,.493,.590,1.1,2.2,.478,2.9,8.2,11.1,2.1,2.7,1.2,3.6,4.8,15.1,103.1,108.7,
Jamal Cain,SO,F,29,3,251,4.7,10.8,.438,1.4,5.0,,3.4,5.9,.577,.500,0.5,1.8,.250,3.4,10.6,14.0,1.1,2.5,1.4,4.7,6.5,11.3,80.7,94.0,
Jamal Cain,JR,F,30,1,552,5.7,11.8,.483,2.1,5.6,,3.6,6.2,.574,.573,2.3,3.2,.719,3.1,9.5,12.7,2.4,1.9,1.1,2.9,4.9,15.8,112.3,98.2,
Jamal Cain,SR,F,27,26,807,7.2,16.2,.442,2.5,7.2,,4.7,9.1,.520,.518,1.9,2.6,.722,2.8,9.4,12.3,1.9,1.7,0.5,2.2,4.7,18.7,108.8,101.9,
Jamal Cain,SR,F,30,30,1050,12.0,24.1,.499,1.9,6.3,,10.2,17.8,.570,.538,7.0,8.3,.841,5.0,11.9,16.9,1.1,3.0,0.9,3.6,5.7,32.9,117.0,94.8,
Toumani Camara,FR,F,32,23,767,5.8,11.7,.494,0.4,2.1,,5.4,9.6,.564,.509,3.3,5.2,.625,4.1,5.9,10.0,1.5,1.4,1.3,3.8,6.3,15.2,99.4,106.1,
Toumani Camara,SO,F,25,25,711,8.9,18.3,.486,1.1,4.2,,7.8,14.1,.553,.516,4.8,7.7,.621,4.4,10.0,14.3,2.9,2.2,2.1,4.5,5.6,23.7,103.8,99.4,
Toumani Camara,JR,F,34,34,924,9.9,19.4,.510,1.5,4.4,,8.4,15.0,.561,.549,3.7,6.2,.591,4.1,11.6,15.7,3.6,1.9,1.7,6.0,6.1,24.9,99.7,92.5,
Toumani Camara,SR,F,34,34,1019,11.0,20.1,.546,1.8,4.9,,9.2,15.2,.606,.590,5.5,8.2,.669,4.9,13.3,18.2,3.6,2.6,1.7,4.4,5.5,29.3,115.3,89.5,
Dylan Cardwell,FR,C,27,0,408,5.7,8.1,.705,0.1,0.1,,5.6,8.0,.700,.713,2.1,3.7,.571,6.5,6.5,13.1,1.7,1.6,2.3,5.5,7.6,13.7,101.1,104.2,
Dylan Cardwell,SO,C,34,0,394,7.0,10.2,.690,0.0,0.1,,7.0,10.0,.700,.690,0.6,1.4,.400,7.6,7.0,14.6,2.6,2.6,6.0,1.3,8.6,14.6,142.4,90.5,
Dylan Cardwell,JR,C,32,1,427,7.6,10.2,.747,0.0,0.1,,7.6,10.1,.757,.747,1.0,3.0,.318,7.4,9.0,16.3,4.8,1.2,5.9,2.7,8.7,16.2,131.4,96.5,
Dylan Cardwell,SR,C,35,1,508,8.1,11.4,.709,0.2,0.6,,7.9,10.9,.724,.718,4.1,7.0,.587,6.7,7.6,14.3,4.7,2.4,6.2,3.0,9.0,20.5,134.6,93.0,
Dylan Cardwell,SR,C,38,38,773,6.3,9.0,.700,0.1,0.1,,6.2,8.8,.703,.704,1.6,5.1,.324,7.0,7.3,14.4,4.6,2.4,4.0,1.6,7.3,14.3,138.3,98.7,
Branden Carlson,FR,C,30,29,628,8.5,15.4,.549,0.3,1.2,,8.2,14.2,.576,.558,2.6,4.2,.622,4.0,7.1,11.0,2.2,0.9,4.0,3.8,6.0,19.9,104.7,101.7,
Branden Carlson,SO,C,25,21,585,9.9,18.0,.551,1.0,2.0,,8.9,16.0,.557,.579,2.8,4.7,.609,2.6,8.9,11.5,1.7,0.5,4.2,2.3,5.6,23.7,111.9,101.2,
Branden Carlson,JR,C,24,23,624,12.2,23.9,.510,1.6,5.2,,10.6,18.7,.566,.544,5.2,6.3,.818,3.7,9.9,13.6,2.5,0.8,3.7,3.5,4.1,31.2,112.6,102.8,
Branden Carlson,SR,C,31,31,903,12.3,24.8,.495,2.7,8.3,,9.5,16.5,.577,.550,6.4,8.3,.774,4.3,11.2,15.5,3.1,0.6,4.2,4.3,4.1,33.6,113.4,93.6,
Branden Carlson,SR,C,36,36,1067,12.3,24.5,.501,3.4,8.9,,8.9,15.5,.571,.570,4.5,6.3,.714,2.8,9.7,12.5,3.0,0.7,2.9,2.9,3.6,32.4,116.2,102.6,
Devin Carter,SO,G,13,2,94,5.1,17.9,.286,0.6,6.4,,4.5,11.5,.389,.304,5.1,6.4,.800,1.9,5.8,7.7,2.6,1.9,0.0,4.5,6.4,16.0,78.3,105.1,
Devin Carter,JR,G,31,30,1110,9.1,19.8,.458,4.4,10.5,,4.7,9.4,.503,.568,4.1,5.8,.701,1.5,5.2,6.7,3.0,1.1,0.5,2.8,4.3,26.6,114.7,107.9,
Devin Carter,SR,G,32,32,1055,9.8,22.6,.432,5.6,14.0,,4.1,8.6,.481,.556,3.9,5.4,.714,1.3,5.0,6.3,1.4,1.6,0.3,2.1,4.2,29.0,117.2,103.1,
Jevon Carter,FR,G,35,4,832,6.6,18.5,.360,3.4,10.7,,3.3,7.8,.423,.451,3.3,4.3,.770,2.7,3.0,5.7,4.3,4.7,0.2,2.9,4.7,19.9,108.1,96.6,
Jevon Carter,SO,G,35,35,970,6.5,16.9,.383,2.6,8.4,,3.9,8.5,.459,.459,3.9,5.2,.744,1.5,4.4,5.8,6.6,3.4,0.5,3.4,5.0,19.4,110.8,95.2,
Jevon Carter,JR,G,37,36,1184,7.9,17.9,.439,3.4,8.8,,4.4,9.1,.487,.534,4.5,5.9,.774,1.8,6.9,8.7,6.5,4.4,0.4,3.2,4.5,23.7,120.6,89.7,
Jevon Carter,SR,G,37,37,1313,9.5,22.5,.422,3.4,8.7,,6.1,13.8,.441,.498,5.9,6.8,.858,1.3,6.3,7.6,10.9,4.9,0.6,4.3,4.9,28.2,119.3,94.9,"AA-2,AP-AA-2,NABC-AA-3,SN-AA-2,W-AA-1"
Alex Caruso,FR,G,33,17,815,4.9,13.2,.373,1.0,3.9,,3.9,9.3,.419,.413,3.6,6.0,.600,2.0,6.5,8.5,8.9,4.9,1.2,6.0,7.4,14.5,89.6,93.8,
Alex Caruso,SO,G,34,33,1013,6.4,13.8,.460,1.5,4.4,,4.9,9.4,.520,.513,4.7,6.8,.685,0.9,6.6,7.5,10.5,4.3,1.7,5.2,5.6,18.9,104.5,92.3,
Alex Caruso,JR,G,33,33,1038,6.4,13.7,.463,1.6,4.3,,4.8,9.5,.506,.520,3.8,5.5,.685,1.4,7.5,9.0,10.9,4.1,0.1,6.0,4.0,18.0,103.0,93.7,
Alex Caruso,SR,G,37,37,1067,6.1,12.1,.502,1.5,4.2,,4.5,7.9,.572,.566,2.8,3.6,.785,2.2,5.1,7.3,10.1,4.2,0.8,4.8,5.0,16.4,113.2,93.7,
Colin Castleton,FR,F,19,0,67,8.2,20.1,.409,0.0,2.7,,8.2,17.4,.474,.409,2.7,8.2,.333,7.3,11.9,19.2,0.9,0.9,3.7,4.6,12.8,19.2,82.6,86.3,
Colin Castleton,SO,F,25,0,197,7.9,14.7,.540,0.0,1.2,,7.9,13.5,.587,.540,7.0,8.5,.828,5.3,12.3,17.6,2.3,0.9,3.8,3.8,5.6,22.9,117.1,94.3,
Colin Castleton,JR,F,24,21,617,10.2,17.1,.597,0.0,0.1,,10.2,17.0,.600,.597,6.9,8.8,.781,5.4,8.6,14.1,2.4,1.2,5.0,4.2,4.8,27.3,121.5,97.8,
Colin Castleton,SR,F,28,28,859,12.0,22.0,.546,0.0,0.6,,12.0,21.3,.562,.546,7.6,10.8,.703,6.1,11.6,17.6,3.0,1.7,4.3,4.3,3.9,31.6,115.6,95.4,
Colin Castleton,SR,F,26,26,811,10.6,21.2,.500,0.1,1.1,,10.5,20.2,.519,.503,8.0,11.0,.729,3.3,10.9,14.2,5.0,1.7,5.5,4.7,3.9,29.4,107.8,93.5,
Julian Champagnie,FR,G,32,26,819,8.0,17.6,.453,1.6,5.1,,6.4,12.5,.511,.498,3.4,4.5,.754,3.7,9.9,13.7,1.6,2.6,1.7,2.5,3.6,20.9,107.1,94.8,
Julian Champagnie,SO,G,25,24,822,10.9,25.2,.433,3.9,10.4,,7.0,14.8,.471,.512,6.7,7.6,.887,2.7,9.4,12.1,2.2,2.4,1.6,3.1,2.9,32.4,113.3,101.0,
Julian Champagnie,JR,G,31,31,1060,11.2,27.2,.414,3.3,9.8,,7.9,17.3,.457,.475,4.5,5.8,.781,2.1,8.3,10.5,3.2,3.1,1.8,2.3,2.4,30.3,107.1,97.5,
Justin Champagnie,FR,G,33,27,1085,8.5,20.3,.421,1.8,7.0,,6.7,13.2,.506,.467,4.5,5.8,.777,4.1,8.9,13.0,1.2,2.0,1.6,1.8,4.1,23.4,110.4,98.7,
Justin Champagnie,SO,G,20,19,687,11.4,23.9,.477,2.0,6.3,,9.4,17.6,.536,.518,5.9,8.2,.711,5.7,13.1,18.8,2.6,2.0,2.1,2.5,3.0,30.6,118.1,98.1,
Cam Christie,FR,G,33,26,993,7.4,18.4,.403,4.2,10.6,,3.3,7.8,.420,.516,3.2,4.0,.791,0.5,6.6,7.1,4.4,1.2,0.7,2.3,3.2,22.2,112.0,109.8,
Max Christie,FR,G,35,35,1078,6.1,16.0,.382,2.1,6.7,,4.0,9.3,.429,.449,3.3,4.0,.824,1.6,5.0,6.6,2.8,1.0,0.9,2.8,2.1,17.7,99.9,107.8,
Moussa Cisse,FR,C,28,28,521,8.5,15.5,.552,0.0,0.1,,8.5,15.3,.556,.552,2.6,7.9,.324,6.7,12.0,18.8,1.4,0.9,4.9,4.7,7.0,19.6,93.8,84.4,
Moussa Cisse,SO,C,29,26,581,8.0,14.3,.559,0.0,0.0,,8.0,14.3,.559,.559,5.0,8.9,.562,7.7,11.2,18.9,1.0,1.2,5.4,3.8,6.5,21.0,109.1,89.8,
Moussa Cisse,JR,C,32,20,722,7.5,12.9,.582,0.0,0.0,,7.5,12.9,.582,.582,2.8,6.8,.410,6.1,14.8,20.9,1.6,0.9,5.0,3.0,5.3,17.8,108.0,89.7,
Moussa Cisse,SR,C,26,17,457,6.8,12.1,.558,0.0,0.3,,6.8,11.9,.570,.558,1.3,4.9,.263,7.1,8.2,15.3,1.0,2.2,4.6,3.4,7.5,14.8,100.1,105.8,
Moussa Cisse,SR,C,35,16,637,6.1,11.1,.548,0.0,0.0,,6.1,11.1,.548,.548,5.4,11.0,.488,8.3,11.8,20.1,1.4,2.1,4.9,3.2,7.8,17.6,112.4,95.9,
Jaylen Clark,FR,G,31,0,278,6.4,12.8,.500,0.4,2.2,,5.9,10.6,.563,.517,4.0,5.3,.750,6.8,9.7,16.5,1.3,0.9,1.1,2.6,7.3,17.2,116.8,102.1,
Jaylen Clark,SO,G,29,6,525,9.3,18.3,.506,0.8,3.1,,8.5,15.2,.556,.528,3.0,5.5,.542,5.2,7.4,12.6,3.4,3.8,0.6,2.3,6.4,22.3,114.8,93.4,
Jaylen Clark,JR,G,30,29,915,9.6,20.0,.481,1.7,5.1,,7.9,14.9,.533,.523,4.4,6.2,.698,3.8,8.0,11.8,3.6,5.1,0.5,2.4,4.2,25.3,117.3,85.9,
Brandon Clarke,FR,F,31,3,728,8.4,13.2,.634,0.1,0.5,,8.3,12.8,.651,.637,4.2,7.5,.561,5.0,8.4,13.4,3.5,1.7,2.9,2.6,4.2,21.1,122.4,102.0,
Brandon Clarke,SO,F,30,30,957,12.7,21.4,.592,0.1,0.2,,12.6,21.3,.594,.593,4.6,8.0,.572,5.2,10.0,15.1,4.0,2.0,4.5,3.1,4.5,30.0,118.7,98.7,
Brandon Clarke,JR,F,37,36,1040,13.8,20.1,.687,0.2,0.8,,13.6,19.3,.705,.693,5.8,8.4,.694,6.1,10.9,17.0,3.8,2.3,6.3,3.1,4.2,33.6,137.9,84.0,"AP-AA-3,SN-AA-3,W-AA-1"
Jordan Clarkson,FR,G,27,9,672,8.7,20.1,.433,1.8,5.9,,6.9,14.2,.487,.478,8.6,10.9,.793,1.0,4.0,5.0,4.7,1.8,0.3,7.0,5.6,27.9,99.5,104.4,
Jordan Clarkson,SO,G,31,31,1052,9.9,22.7,.435,2.5,6.8,,7.3,15.9,.461,.491,7.9,10.1,.784,2.1,5.0,7.1,4.7,1.7,1.0,4.9,4.3,30.2,109.5,101.2,
Jordan Clarkson,JR,G,35,35,1228,10.4,23.1,.448,1.6,5.6,,8.8,17.5,.501,.482,8.0,9.7,.831,1.4,5.3,6.6,5.8,1.9,0.3,4.6,3.8,30.3,112.7,108.2,
Nique Clifford,FR,G,14,0,56,3.2,22.6,.143,2.1,6.4,,1.1,16.1,.067,.190,6.4,9.7,.667,0.0,4.3,4.3,5.4,5.4,1.1,2.1,9.7,15.0,71.9,90.7,
Nique Clifford,SO,G,33,17,761,6.3,13.9,.453,1.8,4.6,,4.5,9.3,.479,.519,2.5,3.7,.667,2.3,9.4,11.7,3.3,1.5,1.7,3.6,4.5,16.9,101.4,97.7,
Nique Clifford,JR,G,35,33,763,6.0,16.1,.374,1.6,5.5,,4.4,10.6,.418,.423,1.9,3.5,.532,2.6,7.8,10.3,3.9,1.9,1.5,4.5,5.6,15.5,85.4,97.6,
Nique Clifford,SR,G,36,36,1091,9.2,17.6,.522,2.3,6.0,,6.9,11.6,.597,.586,3.5,4.6,.759,2.1,13.0,15.1,5.9,2.7,1.8,3.5,5.5,24.1,115.3,94.7,
Nique Clifford,SR,G,36,36,1274,11.3,22.7,.496,3.1,8.3,,8.1,14.4,.564,.565,6.6,8.5,.777,2.5,13.9,16.4,7.6,2.0,1.0,4.4,4.1,32.3,119.2,96.1,
Donovan Clingan,FR,C,39,0,511,12.8,19.6,.655,0.0,0.1,,12.8,19.5,.659,.655,5.2,10.0,.517,9.8,15.2,25.1,2.1,1.8,8.0,4.6,8.4,30.8,119.7,82.6,
Donovan Clingan,SO,C,35,33,788,14.3,22.4,.639,0.2,0.6,,14.1,21.8,.650,.643,6.2,10.7,.583,6.7,13.1,19.8,4.1,1.4,6.6,2.2,5.5,35.0,135.3,89.4,
Noah Clowney,FR,F,36,36,915,7.4,15.2,.486,2.0,7.2,,5.4,8.0,.669,.553,4.3,6.7,.649,4.5,12.6,17.2,1.7,1.3,2.0,2.8,5.4,21.2,116.7,89.8,
Amir Coffey,FR,G,33,33,1097,6.8,15.1,.449,1.7,4.9,,5.1,10.2,.503,.503,5.7,7.6,.753,1.2,5.4,6.6,5.3,1.8,0.3,3.3,3.0,20.9,110.3,101.0,
Amir Coffey,SO,G,18,18,569,8.7,18.3,.475,2.1,5.7,,6.6,12.6,.524,.533,5.7,8.3,.687,1.7,5.6,7.3,6.0,1.3,0.5,3.5,3.6,25.2,112.7,110.2,
Amir Coffey,JR,G,36,36,1267,9.2,21.1,.436,1.9,6.3,,7.3,14.8,.492,.481,7.5,10.2,.740,1.2,4.9,6.1,5.3,1.5,0.4,3.9,2.5,27.8,107.8,105.9,
John Collins,FR,F,31,1,446,10.1,18.5,.547,0.0,0.0,,10.1,18.5,.547,.547,8.1,11.7,.691,6.5,8.7,15.2,0.9,1.1,2.9,3.9,10.2,28.3,114.6,108.5,
John Collins,SO,F,33,33,878,14.9,23.9,.622,0.0,0.1,,14.9,23.8,.624,.622,10.4,14.0,.745,7.9,12.7,20.6,1.1,1.3,3.3,3.8,6.2,40.1,129.9,105.0,
Zach Collins,FR,F,39,0,673,11.3,17.3,.652,0.8,1.8,,10.5,15.6,.672,.676,9.2,12.4,.743,5.5,13.7,19.3,1.3,1.5,5.8,5.0,8.8,32.7,125.3,79.5,
Pat Connaughton,FR,G,34,18,820,6.7,15.9,.423,3.2,9.5,,3.5,6.4,.543,.525,2.2,2.9,.757,2.6,9.3,11.9,2.4,1.3,0.4,2.0,3.6,18.9,111.1,100.3,
Pat Connaughton,SO,G,35,35,1123,6.3,14.1,.445,3.3,8.8,,2.9,5.2,.560,.563,2.0,2.8,.708,1.4,8.0,9.4,4.3,0.9,0.7,1.8,3.1,17.8,120.3,103.2,
Pat Connaughton,JR,G,32,32,1190,8.1,18.0,.452,4.0,10.6,,4.1,7.5,.556,.563,2.9,3.5,.833,2.0,9.9,11.9,5.0,1.7,0.9,1.8,3.0,23.2,125.6,107.8,
Pat Connaughton,SR,G,38,38,1351,7.7,16.5,.466,4.3,10.2,,3.4,6.3,.537,.597,2.3,3.0,.781,1.9,11.2,13.1,2.6,1.3,1.7,2.0,3.5,22.1,122.1,101.0,
